text,pronoun,pronoun_loc,quote,quote_loc,options,label,source,answer,gpt4,gpt3,gpt4_similarity,gpt4_correct,gpt3_similarity,gpt3_correct
John couldn't see the stage with Billy in front of him because he is so tall.,he,63,he is so tall.,63,"['John', 'Billy']",1,Hector Levesque,Billy,Billy,Billy,1.0,1,1.0,1
Tom threw his schoolbag down to Ray after he reached the top of the stairs.,he,42,he reached the top of the stairs.,42,"['Tom', 'Ray']",0,Hector Levesque,Tom,Tom,Tom,1.0,1,1.0,1
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,he,42,he reached the bottom of the stairs.,42,"['Tom', 'Ray']",1,Hector Levesque,Ray,Ray,Ray,1.0,1,1.0,1
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",she,66,she had such a good start.,66,"['Sue', 'Sally']",0,Hector Levesque,Sue,Sue,Sue,1.0,1,1.0,1
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",she,66,she had such a bad start.,66,"['Sue', 'Sally']",1,Hector Levesque,Sally,Sally,Sally,1.0,1,1.0,1
The sculpture rolled off the shelf because it wasn't anchored.,it,43,it wasn't anchored.,43,"['The sculpture', 'The shelf']",0,Hector Levesque,The sculpture,The sculpture,The sculpture,1.0,1,1.0,1
The sculpture rolled off the shelf because it wasn't level.,it,43,it wasn't level.,43,"['The sculpture', 'The shelf']",1,Hector Levesque,The shelf,The shelf,The shelf,1.0,1,1.0,1
Sam's drawing was hung just above Tina's and it did look much better with another one below it.,it,45,it did look much better,45,"[""Sam's drawing"", ""Tina's drawing""]",0,Hector Levesque,Sam's drawing,Sams drawing,Sams drawing,0.96,1,0.96,1
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,it,45,it did look much better,45,"[""Sam's drawing"", ""Tina's drawing""]",1,Hector Levesque,Tina's drawing,Tinas drawing,Tinas drawing,0.9629629629629629,1,0.9629629629629629,1
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,she,68,she had studied so hard.,68,"['Anna', 'Lucy']",0,Hector Levesque,Anna,Anna,Anna,1.0,1,1.0,1
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,she,67,she had studied so hard.,67,"['Anna', 'Lucy']",1,Hector Levesque,Lucy,Lucy,Lucy,1.0,1,1.0,1
The firemen arrived after the police because they were coming from so far away.,they,45,they were coming from so far away.,45,"['The firemen', 'The police']",0,Hector Levesque,The firemen,The firemen,The firemen,1.0,1,1.0,1
The firemen arrived before the police because they were coming from so far away.,they,46,they were coming from so far away.,46,"['The firemen', 'The police']",1,Hector Levesque,The police,The police,The police,1.0,1,1.0,1
Frank was upset with Tom because the toaster he had bought from him didn't work.,he,45,he had bought,45,"['Frank', 'Tom']",0,Hector Levesque,Frank,Frank,Frank,1.0,1,1.0,1
Frank was upset with Tom because the toaster he had sold him didn't work.,he,45,he had sold,45,"['Frank', 'Tom']",1,Hector Levesque,Tom,Tom,Tom,1.0,1,1.0,1
Jim yelled at Kevin because he was so upset.,he,28,he was so upset.,28,"['Jim', 'Kevin']",0,Hector Levesque,Jim,Jim,Jim,1.0,1,1.0,1
Jim comforted Kevin because he was so upset.,he,28,he was so upset.,28,"['Jim', 'Kevin']",1,Hector Levesque,Kevin,Kevin,Kevin,1.0,1,1.0,1
"The sack of potatoes had been placed above the bag of flour, so it had to be moved first.",it,64,it had to be moved first.,64,"['The sack of potatoes', 'The bag of flour']",0,Hector Levesque,The sack of potatoes,The sack of potatoes,The sack of potatoes,1.0,1,1.0,1
"The sack of potatoes had been placed below the bag of flour, so it had to be moved first.",it,64,it had to be moved first.,64,"['The sack of potatoes', 'The bag of flour']",1,Hector Levesque,The bag of flour,The bag of flour,The bag of flour,1.0,1,1.0,1
Pete envies Martin although he is very successful.,he,28,he is very successful.,28,"['Pete', 'Martin']",0,Ernest Davis,Pete,Pete,Pete,1.0,1,1.0,1
Pete envies Martin because he is very successful.,he,27,he is very successful.,27,"['Pete', 'Martin']",1,Ernest Davis,Martin,Martin,Martin,1.0,1,1.0,1
"The older students were bullying the younger ones, so we punished them .",them,66,we punished them,54,"['The older students', 'The younger students']",0,Ernest Davis,The older students,The older students,The older students,1.0,1,1.0,1
"The older students were bullying the younger ones, so we rescued them .",them,65,we rescued them,54,"['The older students', 'The younger students']",1,Ernest Davis,The younger students,The younger students,The younger students,1.0,1,1.0,1
I poured water from the bottle into the cup until it was empty.,it,50,it was empty,50,"['the bottle', 'the cup']",0,Ernest Davis,the bottle,the bottle,the bottle,1.0,1,1.0,1
I poured water from the bottle into the cup until it was full.,it,50,it was full,50,"['the bottle', 'the cup']",1,Ernest Davis,the cup,the cup,the cup,1.0,1,1.0,1
Susan knows all about Ann's personal problems because she is nosy.,she,54,she is nosy,54,"['Susan', 'Ann']",0,Ernest Davis,Susan,Susan,Susan,1.0,1,1.0,1
Susan knows all about Ann's personal problems because she is indiscreet.,she,54,she is indiscreet,54,"['Susan', 'Ann']",1,Ernest Davis,Ann,Ann,Ann,1.0,1,1.0,1
Sid explained his theory to Mark but he couldn't convince him.,he,37,he couldn't convince him.,37,"['Sid', 'Mark']",0,Ernest Davis,Sid,Sid,Sid,1.0,1,1.0,1
Sid explained his theory to Mark but he couldn't understand him.,he,37,he couldn't understand him.,37,"['Sid', 'Mark']",1,Ernest Davis,Mark,Mark,Mark,1.0,1,1.0,1
"Susan knew that Ann's son had been in a car accident, so she told her about it.",she,57,she told,57,"['Susan', 'Ann']",0,Ernest Davis,Susan,Susan,Susan,1.0,1,1.0,1
"Susan knew that Ann's son had been in a car accident, because she told her about it.",she,62,she told,62,"['Susan', 'Ann']",1,Ernest Davis,Ann,Ann,Ann,1.0,1,1.0,1
"Joe's uncle can still beat him at tennis, even though he is 30 years younger.",he,54,he is 30 years younger.,54,"['Joe', ""Joe's uncle""]",0,Ernest Davis,Joe,Joes uncle,Joes uncle,0.46153846153846156,0,0.46153846153846156,0
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",he,54,he is 30 years older.,54,"['Joe', ""Joe's uncle""]",1,Ernest Davis,Joe's uncle,Joe,Joes uncle,0.42857142857142855,0,0.9523809523809523,1
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,It,54,It is to the right,54,"['The painting', 'The oak tree']",0,Ernest Davis,The painting,The painting,The painting,1.0,1,1.0,1
The painting in Mark's living room shows an oak tree. It is to the right of a house.,It,54,It is to the right,54,"['The painting', 'The oak tree']",1,Ernest Davis,The oak tree,The oak tree,The painting,1.0,1,0.5,0
There is a gap in the wall. You can see the garden through it .,it,59,through it,51,"['The gap', 'The wall']",0,Ernest Davis,The gap,The gap,The gap,1.0,1,1.0,1
There is a gap in the wall. You can see the garden behind it .,it,58,behind it,51,"['The gap', 'The wall']",1,Ernest Davis,The wall,The wall,The gap,1.0,1,0.6666666666666666,0
The drain is clogged with hair. It has to be cleaned.,It,32,It has to be cleaned.,32,"['The drain', 'The hair']",0,Ernest Davis,The drain,The drain,The drain,1.0,1,1.0,1
The drain is clogged with hair. It has to be removed.,It,32,It has to be removed.,32,"['The drain', 'The hair']",1,Ernest Davis,The hair,The hair,The drain,1.0,1,0.7058823529411765,0
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.",it,104,it was short,104,"['The meeting', 'The train']",0,Ernest Davis,The meeting,The meeting,The meeting,1.0,1,1.0,1
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.",it,104,it was delayed,104,"['The meeting', 'The train']",1,Ernest Davis,The train,The train,The meeting,1.0,1,0.7,0
"There is a pillar between me and the stage, and I can't see around it .",it,67,see around it,56,"['The pillar', 'The stage']",0,Ernest Davis,The pillar,The pillar,The pillar,1.0,1,1.0,1
"There is a pillar between me and the stage, and I can't see it .",it,60,see it,56,"['The pillar', 'The stage']",1,Ernest Davis,The stage,The stage,The pillar,1.0,1,0.5263157894736842,0
"They broadcast an announcement, but a subway came into the station and I couldn't hear it .",it,87,hear it,82,"['The announcement', 'The subway']",0,Ernest Davis,The announcement,The announcement,The announcement,1.0,1,1.0,1
"They broadcast an announcement, but a subway came into the station and I couldn't hear over it .",it,92,hear over it,82,"['The announcement', 'The subway']",1,Ernest Davis,The subway,The subway,The announcement,1.0,1,0.38461538461538464,0
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.",it,68,it continued,68,"['The concert', 'The rain']",0,Ernest Davis,The concert,The concert,The concert,1.0,1,1.0,1
"In the middle of the outdoor concert, the rain started falling, and it continued until 10.",it,68,it continued,68,"['The concert', 'The rain']",1,Ernest Davis,The rain,The rain,The concert,1.0,1,0.5263157894736842,0
"I used an old rag to clean the knife, and then I put it in the trash.",it,53,put it in the trash.,49,"['The rag', 'The knife']",0,Ernest Davis,The rag,The rag,The rag,1.0,1,1.0,1
"I used an old rag to clean the knife, and then I put it in the drawer.",it,53,put it in the drawer.,49,"['The rag', 'The knife']",1,Ernest Davis,The knife,The knife,The rag,1.0,1,0.5,0
"Ann asked Mary what time the library closes, because she had forgotten.",she,53,she had forgotten.,53,"['Ann', 'Mary']",0,Ernest Davis,Ann,Ann,Ann,1.0,1,1.0,1
"Ann asked Mary what time the library closes, but she had forgotten.",she,49,she had forgotten.,49,"['Ann', 'Mary']",1,Ernest Davis,Mary,Mary,Ann,1.0,1,0.2857142857142857,0
I took the water bottle out of the backpack so that it would be handy.,it,52,it would be handy,52,"['The water bottle', 'The backpack']",0,Ernest Davis,The water bottle,The water bottle,The water bottle,1.0,1,1.0,1
I took the water bottle out of the backpack so that it would be lighter.,it,52,it would be lighter,52,"['The water bottle', 'The backpack']",1,Ernest Davis,The backpack,The backpack,The water bottle,1.0,1,0.35714285714285715,0
I couldn't put the pot on the shelf because it was too tall.,it,44,it was too tall.,44,"['The pot', 'The shelf']",0,Ernest Davis,The pot,The pot,The pot,1.0,1,1.0,1
I couldn't put the pot on the shelf because it was too high.,it,44,it was too high.,44,"['The pot', 'The shelf']",1,Ernest Davis,The shelf,The shelf,The pot,1.0,1,0.5,0
I'm sure that my map will show this building; it is very good.,it,46,it is very good,46,"['The map', 'The building']",0,Ernest Davis,The map,The map,The map,1.0,1,1.0,1
I'm sure that my map will show this building; it is very famous.,it,46,it is very famous,46,"['The map', 'The building']",1,Ernest Davis,The building,The building,The map,1.0,1,0.42105263157894735,0
Bob paid for Charlie's college education. He is very generous.,He,42,He is very generous.,42,"['Bob', 'Charlie']",0,Ernest Davis,Bob,Bob,Bob,1.0,1,1.0,1
Bob paid for Charlie's college education. He is very grateful.,He,42,He is very grateful.,42,"['Bob', 'Charlie']",1,Ernest Davis,Charlie,Charlie,Bob,1.0,1,0.0,0
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.",He,92,He is very hurt.,92,"['Bob', 'Charlie']",0,Ernest Davis,Bob,Bob,Bob,1.0,1,1.0,1
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",He,92,He is very ungrateful.,92,"['Bob', 'Charlie']",1,Ernest Davis,Charlie,Charlie,Bob,1.0,1,0.0,0
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",he,97,he would have won.,97,"['Bob', 'Adam']",0,Ernest Davis,Bob,Bob,Adam,1.0,1,0.0,0
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",he,97,he would have lost.,97,"['Bob', 'Adam']",1,Ernest Davis,Adam,Adam,Adam,1.0,1,1.0,1
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",he,100,he would be gone,100,"['Adam', 'Bob']",0,Ernest Davis,Adam,Adam,Bob,1.0,1,0.0,0
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",he,100,he would be here,100,"['Adam', 'Bob']",1,Ernest Davis,Bob,Bob,Bob,1.0,1,1.0,1
"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.",he,48,he would have gotten a lot of money.,48,"['The con artist', 'Sam']",0,Ernest Davis,The con artist,The con artist,The con artist,1.0,1,1.0,1
"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.",he,48,he would have lost a lot of money.,48,"['The con artist', 'Sam']",1,Ernest Davis,Sam,Sam,The con artist,1.0,1,0.11764705882352941,0
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",it,147,it was hot,147,"['The dog', 'The spot under the tree']",0,Ernest Davis,The dog,The dog,The dog,1.0,1,1.0,1
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",it,147,it was cooler,147,"['The dog', 'The spot under the tree']",1,Ernest Davis,The spot under the tree,The spot under the tree,The dog,1.0,1,0.3333333333333333,0
"The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.",it,63,it was too impatient.,63,"['The cat', 'The mouse']",0,Ernest Davis,The cat,The cat,The cat,1.0,1,1.0,1
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.",it,63,it was too cautious.,63,"['The cat', 'The mouse']",1,Ernest Davis,The mouse,The mouse,The cat,1.0,1,0.5,0
Anne gave birth to a daughter last month. She is a very charming woman.,She,42,She is a very charming woman.,42,"['Anne', ""Anne's daughter""]",0,Ernest Davis,Anne,Anne,Annes daughter,1.0,1,0.4444444444444444,0
Anne gave birth to a daughter last month. She is a very charming baby.,She,42,She is a very charming baby.,42,"['Anne', ""Anne's daughter""]",1,Ernest Davis,Anne's daughter,Annes daughter,Annes daughter,0.9655172413793104,1,0.9655172413793104,1
"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",she,98,she was behaving so strangely.,98,"['Alice', ""Alice's daughter""]",0,Ernest Davis,Alice,Alice,Alices daughter,1.0,1,0.5,0
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",she,97,she was behaving so strangely.,97,"['Alice', ""Alice's daughter""]",1,Ernest Davis,Alice's daughter,Alices daughter,Alices daughter,0.967741935483871,1,0.967741935483871,1
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.",he,92,why he was,88,"['Jim', 'the guy in uniform']",0,Ernest Davis,Jim,Jim,the guy in uniform,1.0,1,0.19047619047619047,0
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.",he,92,who he was,88,"['Jim', 'the guy in uniform']",1,Ernest Davis,the guy in uniform,the guy in uniform,the guy in uniform,1.0,1,1.0,1
The fish ate the worm. It was hungry.,It,23,It was hungry.,23,"['The fish', 'The worm']",0,Ernest Davis,The fish,The fish,The fish,1.0,1,1.0,1
The fish ate the worm. It was tasty.,It,23,It was tasty.,23,"['The fish', 'The worm']",1,Ernest Davis,The worm,The worm,The fish,1.0,1,0.5,0
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.",it,116,I couldn't get it in.,101,"['The key', 'The chewing gum']",0,Ernest Davis,The key,The key,The key,1.0,1,1.0,1
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.",it,116,I couldn't get it out.,101,"['The key', 'The chewing gum']",1,Ernest Davis,The chewing gum,The chewing gum,The key,1.0,1,0.45454545454545453,0
"The dog chased the cat, which ran up a tree. It waited at the bottom.",It,45,It waited,45,"['The dog', 'The cat']",0,Ernest Davis,The dog,The dog,The cat,1.0,1,0.5714285714285714,0
"The dog chased the cat, which ran up a tree. It waited at the top.",It,45,It waited,45,"['The dog', 'The cat']",1,Ernest Davis,The cat,The cat,The cat,1.0,1,1.0,1
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",it,94,get it removed.,90,"['The tree', 'The roof']",0,Ernest Davis,The tree,The tree,The tree,1.0,1,1.0,1
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",it,94,get it repaired.,90,"['The tree', 'The roof']",1,Ernest Davis,The roof,The roof,The roof,1.0,1,1.0,1
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,He,66,He was immediately taken,66,"['The customer', 'The teller']",0,Ernest Davis,The customer,The customer,The customer,1.0,1,1.0,1
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,He,66,He was immediately taken,66,"['The customer', 'The teller']",1,Ernest Davis,The teller,The teller,The teller,1.0,1,1.0,1
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,He,82,He was very annoyed.,82,"['John', 'The man']",0,Ernest Davis,John,John,The man,1.0,1,0.36363636363636365,0
John was doing research in the library when he heard a man humming and whistling. He was very annoying.,He,82,He was very annoying.,82,"['John', 'The man']",1,Ernest Davis,The man,The man,The man,1.0,1,1.0,1
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,He,74,He was very impressed.,74,"['John', 'The juggler']",0,Ernest Davis,John,John,The juggler,1.0,1,0.13333333333333333,0
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,He,74,He was very impressive.,74,"['John', 'The juggler']",1,Ernest Davis,The juggler,The juggler,The juggler,1.0,1,1.0,1
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,He,64,He was very ill,64,"['Bob', 'Carl']",0,Ernest Davis,Bob,Bob,Bob,1.0,1,1.0,1
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,He,64,He was very concerned,64,"['Bob', 'Carl']",1,Ernest Davis,Carl,Carl,Carl,1.0,1,1.0,1
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",they,86,they are fifteen.,86,"['Sam and Amy', ""Amy's parents""]",0,Ernest Davis,Sam and Amy,Sam and Amy,Sam and Amy,1.0,1,1.0,1
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",they,86,they are snobs.,86,"['Sam and Amy', ""Amy's parents""]",1,Ernest Davis,Amy's parents,Amys parents,Sam and Amy's parents,0.96,1,0.7647058823529411,1
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.",He,73,He should have been more truthful.,73,"['Mark', 'Pete']",0,Ernest Davis,Mark,Mark,Mark,1.0,1,1.0,1
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.",He,73,He should have been more skeptical.,73,"['Mark', 'Pete']",1,Ernest Davis,Pete,Pete,Pete,1.0,1,1.0,1
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,it,87,moving out of it,73,"['The old house', 'The new house']",0,Ernest Davis,The old house,The old house,The old house,1.0,1,1.0,1
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,it,85,moving into it,73,"['The old house', 'The new house']",1,Ernest Davis,The new house,The new house,The new house,1.0,1,1.0,1
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,They,64,They are gripped,64,"['People', ""Paul's books""]",0,Ernest Davis,People,People,Paul's books,1.0,1,0.2222222222222222,0
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,They,64,They are popular,64,"['People', ""Paul's books""]",1,Ernest Davis,Paul's books,Pauls books,Paul's books,0.9565217391304348,1,1.0,1
Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.,it,75,She has had it,63,"['The flute', 'The piece']",0,Ernest Davis,The flute,The flute,The flute,1.0,1,1.0,1
Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.,it,77,She has loved it,63,"['The flute', 'The piece']",1,Ernest Davis,The piece,The piece,The flute,1.0,1,0.5555555555555556,0
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.",it,40,it was broken,40,"['The chair', 'The piano']",0,Ernest Davis,The chair,The chair,The chair,1.0,1,1.0,1
"Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.",it,40,it was broken,40,"['The chair', 'The piano']",1,Ernest Davis,The piano,The piano,The chair,1.0,1,0.5555555555555556,0
"Since it was raining, I carried the newspaper in my backpack to keep it dry.",it,69,keep it dry,64,"['The newspaper', 'The backpack']",0,Ernest Davis,The newspaper,The newspaper,The newspaper,1.0,1,1.0,1
"Since it was raining, I carried the newspaper over my backpack to keep it dry.",it,71,keep it dry,66,"['The newspaper', 'The backpack']",1,Ernest Davis,The backpack,The backpack,The newspaper,1.0,1,0.48,0
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,it,105,She reads it,95,"['The book', 'The article']",0,Ernest Davis,The book,The book,The book,1.0,1,1.0,1
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,it,106,She writes it,95,"['The book', 'The article']",1,Ernest Davis,The article,The article,The book,1.0,1,0.42105263157894735,0
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.",it,130,knocked it down,122,"['The sand castle', 'The flag']",0,Ernest Davis,The sand castle,The sand castle,The sand castle,1.0,1,1.0,1
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.",it,130,knocked it down,122,"['The sand castle', 'The flag']",1,Ernest Davis,The flag,The flag,The flag,1.0,1,1.0,1
"Jane knocked on Susan's door, but there was no answer. She was disappointed.",She,55,She was disappointed.,55,"['Jane', 'Susan']",0,Ernest Davis,Jane,Jane,Jane,1.0,1,1.0,1
"Jane knocked on Susan's door, but there was no answer. She was out.",She,55,She was out.,55,"['Jane', 'Susan']",1,Ernest Davis,Susan,Susan,Susan,1.0,1,1.0,1
"Jane knocked on the door, and Susan answered it. She invited her to come out.",She,49,She invited,49,"['Jane', 'Susan']",0,Ernest Davis,Jane,Jane,Susan,1.0,1,0.4444444444444444,0
"Jane knocked on the door, and Susan answered it. She invited her to come in.",She,49,She invited,49,"['Jane', 'Susan']",1,Ernest Davis,Susan,Susan,Susan,1.0,1,1.0,1
"Sam took French classes from Adam, because he was eager to speak it fluently.",he,43,he was eager,43,"['Sam', 'Adam']",0,Ernest Davis,Sam,Sam,Sam,1.0,1,1.0,1
"Sam took French classes from Adam, because he was known to speak it fluently.",he,43,he was known to speak it,43,"['Sam', 'Adam']",1,Ernest Davis,Adam,Adam,Adam,1.0,1,1.0,1
"The path to the lake was blocked, so we couldn't use it .",it,53,use it,49,"['The path', 'The lake']",0,Ernest Davis,The path,The path,The path,1.0,1,1.0,1
"The path to the lake was blocked, so we couldn't reach it .",it,55,reach it,49,"['The path', 'The lake']",1,Ernest Davis,The lake,The lake,The lake,1.0,1,1.0,1
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.",it,95,it was out,95,"['The sun', 'The cloud']",0,Ernest Davis,The sun,The sun,The sun,1.0,1,1.0,1
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.",it,95,it was gone,95,"['The sun', 'The cloud']",1,Ernest Davis,The cloud,The cloud,The cloud,1.0,1,1.0,1
"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.",it,74,it was a safer place,74,"['The lake', 'The ocean beach']",0,Ernest Davis,The lake,The lake,The lake,1.0,1,1.0,1
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.",it,74,it was a dangerous place,74,"['The lake', 'The ocean beach']",1,Ernest Davis,The ocean beach,The ocean beach,The ocean beach,1.0,1,1.0,1
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.",they,58,they ended up looking more like golfers.,58,"['The shepherds', 'The sheep']",0,Ernest Davis,The shepherds,The shepherds,The sheep,1.0,1,0.7272727272727273,0
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.",they,58,they ended up looking more like dogs.,58,"['The shepherds', 'The sheep']",1,Ernest Davis,The sheep,The sheep,The sheep,1.0,1,1.0,1
"Mary tucked her daughter Anne into bed, so that she could work.",she,48,she could work,48,"['Mary', ""Mary's daughter""]",0,Ernest Davis,Mary,Mary,Mary,1.0,1,1.0,1
"Mary tucked her daughter Anne into bed, so that she could sleep.",she,48,she could sleep.,48,"['Mary', ""Mary's daughter""]",1,Ernest Davis,Mary's daughter,Marys daughter,Marys daughter,0.9655172413793104,1,0.9655172413793104,1
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.",they,45,they were not prepared,45,"['Fred and Alice', 'coats']",0,Ernest Davis,Fred and Alice,Fred and Alice,Fred and Alice,1.0,1,1.0,1
